Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Jeff Green,26,59,19,5,1,1,12,1,0,0,0,0,62.5,2.4
Johnny Juzang,21,43,17,6,2,1,6,5,0,0,0,0,48.5,2.31
Pacôme Dadiet,24,29,20,10,3,1,5,2,0,0,0,0,53.0,2.21
Javonte Cooke,19,23,19,7,6,0,3,9,0,0,0,0,42.0,2.21
Trey Jemison III,11,9,16,3,1,2,0,6,0,0,0,0,23.5,2.14
Chucky Hepburn,2,0,1,2,1,0,0,1,0,0,0,0,4.0,2.0
Curtis Jones,6,9,5,3,0,0,1,1,0,0,0,0,12.0,2.0
Payton Sandfort,1,3,1,0,0,0,1,1,0,0,0,0,2.0,2.0
Jayson Kent,1,2,1,0,0,0,0,0,0,0,0,0,2.0,2.0
Stanley Umude,2,2,0,1,1,0,0,0,0,0,0,0,4.0,2.0
Joe Ingles,24,19,9,20,7,1,3,9,0,0,0,0,47.0,1.96
Mark Sears,7,22,2,2,0,0,4,4,0,0,0,0,13.0,1.86
Bismack Biyombo,21,21,20,5,4,1,0,7,0,0,0,0,38.5,1.83
Jahmir Young,11,20,4,6,1,0,2,3,0,0,0,0,20.0,1.82
Vladislav Goldin,5,4,4,2,0,1,0,1,0,0,0,0,9.0,1.8
Dario Saric,5,5,6,2,0,0,1,2,0,0,0,0,9.0,1.8
Harrison Ingram,5,9,3,1,0,0,1,0,0,0,0,0,9.0,1.8
Tyler Smith,2,3,2,0,1,0,0,2,0,0,0,0,3.5,1.75
Isaac Jones,5,7,4,1,0,0,0,0,0,0,0,0,8.5,1.7
Caleb Houstan,15,25,7,2,1,1,6,4,0,0,0,0,24.5,1.63
Jacob Toppin,5,8,1,1,0,1,0,0,0,0,0,0,8.0,1.6
Trentyn Flowers,2,4,1,1,0,0,0,1,0,0,0,0,3.0,1.5
John Tonje,3,2,2,1,0,0,0,0,0,0,0,0,4.0,1.33
Garrett Temple,17,9,6,6,3,1,1,5,0,0,0,0,20.0,1.18
Buddy Boeheim,4,6,0,0,0,0,2,0,0,0,0,0,4.0,1.0
Noa Essengue,2,0,0,0,1,0,0,0,0,0,0,0,2.0,1.0
Hunter Dickinson,1,2,0,0,0,1,0,2,0,0,0,0,1.0,1.0
Darius Brown,1,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0
Hunter Sallis,7,7,1,4,0,1,0,5,0,0,0,0,5.5,0.79
Jahmyl Telfort,8,1,3,1,1,0,0,1,0,0,0,0,5.5,0.69
Trevor Keels,4,0,2,0,0,0,0,0,0,0,0,0,2.0,0.5
Tosan Evbuomwan,5,0,2,0,0,0,0,0,0,0,0,0,2.0,0.4
Max Shulga,5,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0
